@relation 'mushrooms-weka.filters.unsupervised.attribute.Copy-R8,9,19-weka.filters.unsupervised.attribute.OrdinalToNumeric-R24,25-weka.filters.unsupervised.attribute.RenameNominalValues-R26-No:1,t:2,n:0-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1'

@attribute cap-shape {x,b,s,f,k,c}
@attribute cap-surface {s,y,f,g}
@attribute cap-color {n,y,w,g,e,p,b,u,c,r}
@attribute bruises {t,f}
@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute gill-attachment {f,a}
@attribute gill-spacing {c,w}
@attribute gill-size numeric
@attribute gill-color {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute stalk-shape {e,t}
@attribute stalk-root {e,c,b,r}
@attribute stalk-surface-above-ring {s,f,k,y}
@attribute stalk-surface-below-ring {s,f,y,k}
@attribute stalk-color-above-ring {w,g,p,n,b,e,o,c,y}
@attribute stalk-color-below-ring {w,p,g,b,n,e,y,o,c}
@attribute veil-type {p}
@attribute veil-color {w,n,o,y}
@attribute ring-number {o,t,n}
@attribute ring-type {p,e,l,f,n}
@attribute spore-print-color {k,n,u,h,w,r,o,y,b}
@attribute population {s,n,a,v,y,c}
@attribute habitat {u,g,m,d,p,w,l}
@attribute gill-spacing-num numeric
@attribute gill-size-num numeric
@attribute ring-number-num numeric
@attribute class {p,e}

@data
x,s,y,t,a,f,c,4.43090990933263,k,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
b,s,w,t,l,f,c,3.31173271412352,n,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,s,g,f,n,f,w,3.26003954132992,k,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,y,y,t,a,f,c,3.84950963243343,n,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
b,s,w,t,a,f,c,2.92993635033533,g,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
b,y,w,t,l,f,c,4.16624656472791,n,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
b,s,y,t,a,f,c,2.92808587446507,g,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
x,y,y,t,l,f,c,3.13302513841359,g,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,y,y,t,a,f,c,3.80758091643077,n,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
b,s,y,t,a,f,c,3.87060470570991,w,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,f,n,f,n,f,w,3.76266470300438,n,t,e,s,f,w,w,p,w,o,e,k,a,g,2,1,1,e
f,f,w,f,n,f,w,3.0981292516736,k,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
b,s,y,t,a,f,c,2.95690063307467,k,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
b,y,y,t,l,f,c,4.12891514829251,k,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
b,y,w,t,a,f,c,3.10857157388749,w,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
b,s,w,t,l,f,c,3.38075973759496,g,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
x,y,y,t,a,f,c,3.95017582333419,n,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,y,w,t,l,f,c,3.07100910331582,w,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
b,s,y,t,l,f,c,3.427147066694,g,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,y,y,t,l,f,c,3.38197554569718,n,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,y,n,t,l,f,c,3.50459189734233,p,e,r,s,y,w,w,p,w,o,p,n,y,p,1,1,1,e
b,y,y,t,l,f,c,2.83642169448366,n,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
b,s,y,t,l,f,c,2.09717820484135,k,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
b,y,y,t,a,f,c,3.3778630068876,n,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,y,t,l,f,c,3.69568090920127,n,e,r,s,y,w,w,p,w,o,p,k,y,p,1,1,1,e
x,s,y,t,a,f,c,3.53950880071341,w,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
x,y,w,t,a,f,c,3.92727104037811,n,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,y,y,t,l,f,c,2.91944957398455,k,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
x,s,w,t,l,f,c,3.55003983813587,w,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
x,y,y,t,l,f,c,3.88471954634381,n,e,r,s,y,w,w,p,w,o,p,n,s,p,1,1,1,e
f,y,y,t,l,f,c,2.99270470523664,w,e,r,s,y,w,w,p,w,o,p,k,s,p,1,1,1,e
x,y,n,t,a,f,c,3.2648655282112,w,e,r,s,y,w,w,p,w,o,p,k,s,g,1,1,1,e
x,s,w,t,l,f,c,3.07438320540729,k,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
b,s,w,t,l,f,c,3.41719413859211,k,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
b,y,y,t,a,f,c,3.41278107034022,w,e,c,s,s,w,w,p,w,o,p,k,s,m,1,1,1,e
f,f,g,f,n,f,w,4.27865306906801,n,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
b,s,w,t,a,f,c,3.69606351391903,w,e,c,s,s,w,w,p,w,o,p,n,n,g,1,1,1,e
x,s,y,t,l,f,c,3.44536564131271,k,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
x,y,n,t,a,f,c,4.75789548756537,p,e,r,s,y,w,w,p,w,o,p,k,y,p,1,1,1,e
b,y,y,t,a,f,c,3.84237721634358,k,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
b,s,y,t,l,f,c,2.74689494962598,g,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
b,y,y,t,l,f,c,3.62108986665089,g,e,c,s,s,w,w,p,w,o,p,n,n,m,1,1,1,e
b,y,w,t,l,f,c,3.90128243553999,n,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
f,s,n,f,n,f,w,3.80597154642644,k,t,e,s,s,w,w,p,w,o,e,k,a,g,2,1,1,e
x,s,w,t,l,f,c,4.11008578893201,n,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
f,y,y,t,a,f,c,3.18053285304732,w,e,r,s,y,w,w,p,w,o,p,n,s,g,1,1,1,e
x,y,y,t,a,f,c,2.58669630957789,w,e,c,s,s,w,w,p,w,o,p,k,n,g,1,1,1,e
b,y,w,t,l,f,c,4.12106939376308,g,e,c,s,s,w,w,p,w,o,p,n,s,m,1,1,1,e
x,y,n,t,a,f,c,3.89570255945382,p,e,r,s,y,w,w,p,w,o,p,k,s,p,1,1,1,e
b,s,y,t,a,f,c,4.31532304094712,k,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
f,y,n,t,l,f,c,3.50815030886923,p,e,r,s,y,w,w,p,w,o,p,n,y,p,1,1,1,e
f,y,n,t,a,f,c,3.21226263062919,n,e,r,s,y,w,w,p,w,o,p,n,y,g,1,1,1,e
x,s,n,f,n,f,w,2.4551366828224,k,t,e,f,s,w,w,p,w,o,e,n,s,g,2,1,1,e
x,f,g,f,n,f,w,3.46640800519949,n,t,e,s,s,w,w,p,w,o,e,n,s,g,2,1,1,e
x,y,y,t,l,f,c,3.51414821082983,w,e,r,s,y,w,w,p,w,o,p,k,s,g,1,1,1,e
x,s,n,f,n,f,w,3.0698340725897,k,t,e,s,s,w,w,p,w,o,e,k,s,g,2,1,1,e
b,s,w,t,a,f,c,2.58230735996706,w,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,s,w,t,l,f,c,3.39103139658909,n,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
f,y,n,t,l,f,c,3.00558222280911,w,e,r,s,y,w,w,p,w,o,p,k,y,g,1,1,1,e
b,s,w,t,l,f,c,2.76326730422722,k,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,y,y,t,a,f,c,3.66145769620762,g,e,c,s,s,w,w,p,w,o,p,k,s,g,1,1,1,e
x,y,y,t,l,f,c,4.08327481080353,g,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,e
x,s,n,f,n,f,w,2.7807736355897,n,t,e,s,s,w,w,p,w,o,e,n,a,g,2,1,1,e
x,s,w,t,a,f,c,3.66962850431219,g,e,c,s,s,w,w,p,w,o,p,n,s,g,1,1,1,e
f,y,n,t,l,f,c,3.38300657603494,p,e,r,s,y,w,w,p,w,o,p,n,s,g,1,1,1,e
